n,p_or_ramp,density,reciprocity,seeds,rounds_per_seed,q,ewma_lookback,coverage_rate,p99_debit,p99_tail_coverage,cap_binding_fraction
30,0.9,0.5,0.8,200,64,1.5,8,0.4066,27844819,0.0000,0.2492
30,0.9,0.5,0.8,200,64,1.5,16,0.0000,0,0.0000,0.0000
30,0.9,0.5,0.8,200,64,1.5,32,0.0000,0,0.0000,0.0000
30,0.9,0.5,0.8,200,64,2,8,0.4847,27844819,0.0000,0.2492
30,0.9,0.5,0.8,200,64,2,16,0.0000,0,0.0000,0.0000
30,0.9,0.5,0.8,200,64,2,32,0.0000,0,0.0000,0.0000
50,1,0.5,0.8,200,64,1,8,0.3009,13697748,0.0000,0.2224
50,1,0.5,0.8,200,64,1,16,0.3004,13708506,0.0000,0.1348
50,1,0.5,0.8,200,64,1,32,0.2905,13712427,0.0000,0.0449
50,1,0.5,0.8,200,64,1.25,8,0.3671,13697748,0.0000,0.2224
50,1,0.5,0.8,200,64,1.25,16,0.3680,13708506,0.0000,0.1348
50,1,0.5,0.8,200,64,1.25,32,0.3581,13712427,0.0000,0.0449
50,1,0.5,0.8,200,64,1.5,8,0.4283,13697748,0.0000,0.2224
50,1,0.5,0.8,200,64,1.5,16,0.4326,13708506,0.0000,0.1348
50,1,0.5,0.8,200,64,1.5,32,0.4224,13712427,0.0000,0.0449
50,1,0.5,0.8,200,64,2,8,0.5340,13697748,0.0000,0.2224
50,1,0.5,0.8,200,64,2,16,0.5466,13708506,0.0000,0.1348
50,1,0.5,0.8,200,64,2,32,0.5391,13712427,0.0000,0.0449
50,0.95,0.5,0.8,200,64,1,8,0.2967,38554715,0.0000,0.2371
50,0.95,0.5,0.8,200,64,1,16,0.2672,28506152,0.0000,0.1733
50,0.95,0.5,0.8,200,64,1,32,0.0000,0,0.0000,0.0000
50,0.95,0.5,0.8,200,64,1.25,8,0.3528,38554715,0.0000,0.2371
50,0.95,0.5,0.8,200,64,1.25,16,0.3206,28506152,0.0000,0.1733
50,0.95,0.5,0.8,200,64,1.25,32,0.0000,0,0.0000,0.0000
50,0.95,0.5,0.8,200,64,1.5,8,0.4034,38554715,0.0000,0.2371
50,0.95,0.5,0.8,200,64,1.5,16,0.3740,28506152,0.0000,0.1733
