n,p,density,reciprocity,seeds,rounds_per_seed,median_realized_compression,p10_realized_compression,median_worst_saving,p10_worst_saving,mean_excluded_latency_rounds,p95_excluded_latency_rounds,abort_rate,exclusion_round_fraction,unsettled_fraction
5,0.95,0.5,0.3,200,10,0.5683,0.4869,0.0000,0.0000,1.1210,2.0000,0.0340,0.1869,0.0142
5,0.95,0.5,0.4,200,10,0.6194,0.5452,0.0000,0.0000,1.1089,2.0000,0.0395,0.1891,0.0143
5,0.95,0.5,0.5,200,10,0.6530,0.5728,0.0000,0.0000,1.1663,2.0000,0.0385,0.1853,0.0115
5,0.95,0.5,0.6,200,10,0.6873,0.6223,0.0000,0.0000,1.1155,2.0000,0.0480,0.1818,0.0166
5,0.95,0.5,0.7,200,10,0.7189,0.6588,0.0000,0.0000,1.1221,2.0000,0.0410,0.1728,0.0161
5,0.95,0.5,0.8,200,10,0.7435,0.6828,0.0000,0.0000,1.1163,2.0000,0.0350,0.1798,0.0126
5,0.95,0.5,0.9,200,10,0.7652,0.7167,0.0240,0.0000,1.1424,2.0000,0.0400,0.1771,0.0128
5,0.95,0.5,1,200,10,0.7913,0.7474,0.1526,0.0331,1.1088,2.0000,0.0395,0.1813,0.0149
5,0.95,0.1,0.8,200,10,0.6201,0.4903,0.0000,0.0000,1.0930,2.0000,0.0617,0.0538,0.0061
5,0.95,0.2,0.8,200,10,0.6690,0.5841,0.0000,0.0000,1.1423,2.0000,0.0704,0.1065,0.0120
5,0.95,0.3,0.8,200,10,0.6933,0.6224,0.0000,0.0000,1.1120,2.0000,0.0436,0.1341,0.0096
5,0.95,0.4,0.8,200,10,0.7236,0.6715,0.0000,0.0000,1.1110,2.0000,0.0352,0.1661,0.0126
5,0.95,0.6,0.8,200,10,0.7666,0.7224,0.0000,0.0000,1.1129,2.0000,0.0340,0.2039,0.0165
5,0.95,0.7,0.8,200,10,0.7777,0.7414,0.0721,0.0000,1.1207,2.0000,0.0355,0.1928,0.0124
